,img,title,score,genre,running_time,synop,year,key_words
10,https://images.justwatch.com/poster/241632872/s592,워킹 데드,8.2,"['액션', 'SF', '공포', '스릴러', '드라마']",46분,"2010년 10월 AMC에서 방영을 시작한 좀비 아포칼립스물. 조지아 주의 보안관 릭은 범인 검거 중에 총상을 입고 혼수상태에 빠진다. 어느 날 혼수 상태에서 깨어난 릭은 폐허가 되어 버린 세상이 좀비들로 뒤덮여 있는 것을 발견한다. 쇠약해진 몸으로 병원을 빠져나온 릭은 워커라고 불리는 좀비들을 피해 생존자를 찾아다니고, 마을의 생존자 모건 부자의 도움을 받아 건강을 회복한 후 아내 로리와 아들 칼을 찾으러 애틀랜타로 떠나지만, 릭을 반긴 것은 셀 수 없이 많은 워커 무리들. 간신히 전차 내부로 피신한 릭을 백화점에 숨어있던 생존자 일행이 도와서 겨우 전차에서 빠져나오는데...",2010,"['마을', '발견', '아들', '아내', '생존', '범인', '좀비', '물', '불', '병']"
11,https://images.justwatch.com/poster/195677288/s592,러브 온 더 스펙트럼,8.6,"['다큐멘터리', '로맨스', 'Reality TV']",42분,"사랑에 답이 있을까? 모두가 자신할 수 없는 연애. 자폐 스펙트럼을 가진 젊은이들이 로맨스를 향한 낯선 모험을 시작한다. 복잡해도 괜찮아, 알쏭달쏭한 게 당연해!",2019,"['사랑', '모험', '낯선']"
12,https://images.justwatch.com/poster/246726567/s592,슬기로운 의사생활,8.8,"['코미디', '드라마']",1시간 26분,"누군가는 태어나고 누군가는 삶을 끝내는 탄생과 죽음이 공존하는, 인생의 축소판이라 불리는 병원에서 평범한 듯 특별한 하루하루를 살아가는 사람들과 눈빛만 봐도 알 수 있는 20년지기 친구들의 케미스토리를 담은 드라마",2020,"['사람', '친구', '죽음', '인생', '불', '빛', '병']"
13,https://images.justwatch.com/poster/249359607/s592,인비저블 게스트,8.1,"['스릴러', '드라마', '범죄', 'Made in Europe']",1시간 47분,"의문의 습격으로 살해 당한 ‘로라’ ‘아드리안’은 연인의 죽음에 절망하고, 범인은 흔적도 없이 사라졌다.  유력한 용의자로 누명을 쓴 ‘아드리안’은 승률 100%의 변호사 ‘버지니아’를 선임한다.  그리고 자신의 무죄를 입증하기 위해 고군분투하던 중  과거 그와 ‘로라’가 은폐한 교통사고와 숨겨진 연관성을 찾게 되는데…  남은 시간은 단 3시간, 사건을 재구성해 무죄를 입증해야 한다!",2017,"['사건', '시간', '죽음', '과거', '변호사', '사고', '살해', '범인', '용의자', '연인', '의문']"
14,https://images.justwatch.com/poster/249884421/s592,볼드 타입,8,"['드라마', '코미디']",43분,뉴욕의 여성 라이프스타일 잡지사. 세 20대 여성이 멋진 커리어와 진한 우정을 쌓아가는 곳이다. 뜨거운 청춘답게 로맨스도 놓치지 않은 그녀들. 화려하지만 정신없이 바쁜 대도시 삶 속에서 자신만의 목소리도 발견해 간다고.,2017,"['그녀', '발견', '도시', '뉴욕', '여성', '스타', '우정', '청춘']"
15,https://images.justwatch.com/poster/21851876/s592,파이트 클럽,8.8,['드라마'],2시간 19분,"자동차 회사의 리콜 심사관으로 일하는 주인공(에드워드 노튼)은 일상의 무료함과 공허함 속에서 늘 새로운 탈출을 꿈꾼다. 그는 비행기에서 자신을 비누 제조업자라고 소개하는 타일러 더든(브래드 피트)을 만난다. 집에 돌아온 주인공은 아파트가 누군가에 의해 폭파되었음을 발견하고, 타일러에게 도움을 청해 함께 생활하게 된다. 어느 날 밤 타일러는 주인공에게 자신을 때려달라고 부탁한다. 사람은 싸워봐야 진정한 자신을 알 수 있다는 것이다. 결국 이들은 매주 토요일 밤 술집 지하에서 맨주먹으로 격투를 벌이는 파이트 클럽을 결성하기에 이르는데...",1999,"['사람', '발견', '일상', '밤', '주인공', '회사', '탈출']"
16,https://images.justwatch.com/poster/195801218/s592,루시퍼,8.1,"['SF', '판타지', '범죄', '드라마']",47분,지긋지긋한 지옥 생활을 청산하고 은퇴를 선언한 악마. LA로 와 나이트클럽을 열고 인생을 즐기던 어느 날 강력계 형사를 만나면서 새로운 삶을 살기 시작한다.,2016,"['인생', '형사', '형', '산']"
17,https://images.justwatch.com/poster/8655298/s592,유주얼 서스펙트,8.5,"['스릴러', '범죄']",1시간 46분,"산 페드로 부두에서 27명이 사망하고 9,100만달러가 증발하는 유혈극이 벌어진다. 수사관 데이브 쿠얀은 끔찍한 사건 현장의 유일한 생존자인 버벌로부터 폭발 사고의 유력한 용의자로 지목되었던 5인에 대한 진술을 듣는다. 유치장에서의 만남으로 시작한  그들의 6주 간의 화려한 범죄 행각들이 버벌의 진술과 함께 속속 드러나기 시작한다. 하지만 정작 용의자들도 모르게 그들의 머리 위에 존재했던 전설 속의 악마와도 같은 지하 범죄 조직의 두목 카이저 소제의 존재가 부각되며, 쿠얀은 점점 혼란에 빠지기 시작한다.",1995,"['사건', '존재', '사고', '조직', '전설', '수사', '생존', '혼란', '용의자', '만남', '산']"
18,https://images.justwatch.com/poster/123946389/s592,귀멸의 칼날,8.7,"['SF', '공포', '애니메이션', '액션', '판타지', '스릴러']",27분,"2019년 4월 Tokyo MX에서 방영을 시작한 애니메이션. 고토게 코요하루의 동명의 만화를 원작으로 한다. 다이쇼 시대, 가난하지만 가족들과 함께 행복한 일상을 보내던 카마도 탄지로. 설이 오기 전에 숯을 잔뜩 팔아 가족들을 배불리 먹여주고 싶었던 탄지로는 혼자 마을로 내려가 숯을 판다. 다음날이 밝고 집에 도착한 탄지로는 가족들이 처참하게 몰살당한 모습을 보고, 유일하게 살아있던 여동생 네즈코를 구하기 위해 그녀를 의사에게 데려가려 하지만 이미 네즈코는 사람을 잡아먹는 도깨비가 되어 있었다. 가혹한 운명의 사슬을 끊어내고 세상에서 혈귀를 멸하려, 지금 탄지로가 복수의 칼날을 높이 든다.",2019,"['사람', '그녀', '마을', '복수', '운명', '일상', '쇼', '원작', '의사', '동생', '혼자', '불']"
19,https://images.justwatch.com/poster/176402497/s592,빌리언스,8.4,['드라마'],57분,"영리하고 노련한 검사 척 로즈와 수단과 방법을 가리지 않고 이득을 취하는 억만장자 헤지펀드 매니저 바비 ""액스"" 액슬로드의 대립을 통해 뉴욕 금융계의 정치와 권력에 관해 그리는 드라마.",2016,"['뉴욕', '방법', '법', '권력']"
20,https://images.justwatch.com/poster/104004853/s592,오티스의 비밀 상담소,8.3,"['코미디', '드라마']",53분,"소심한 소년 오티스의 대반전, 그가 아웃사이더 소녀와 함께 섹스 상담소를 연다. 성 상담사 엄마에게 귀동냥한 산지식을 모두 전수해드려요. 오티스는 절찬 상담 중!",2019,"['소녀', '소년', '엄마', '산']"
